AdmGUIDValue_tab,DarInstitutionCode,DarBasisOfRecord,DarCatalogNumber,DarCollectorNumber,DarCollector,DarRelatedInformation,DarYearCollected,DarContinentOcean,DarCountry,DarStateProvince,DarCounty,DarLocality,DarMinimumElevation,DarMaximumElevation,DarDecimalLatitude,DarDecimalLongitude,DarGeorefMethod,DarCoordinateUncertaintyInMeter,DarIdentifiedBy,DarTypeStatus,DarScientificName,DarKingdom,DarPhylum,DarFamily,DarGenus,DarSpecies,DarSubspecies,DarSpecificEpithet,DarInfraspecificEpithet,DarInfraspecificRank,DarScientificNameAuthor
41d8fb49-1d6b-4db9-8fdf-842def119f99,NY,PreservedSpecimen,2456344,14544,D. E. Atha,http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2643402,2014,North America,United States of America,New York,New York Co.,Central Park. Hallett Nature Sanctuary. Between 60th and 61st St and between 5th and 6th Aves,43,43,40.7667,-73.9754,GPS,50,D. E. Atha,,Carex annectens (E.P.Bicknell) E.P.Bicknell,Plantae,Magnoliophyta,Cyperaceae,Carex,annectens,,Species,(E.P.Bicknell) E.P.Bicknell,,
33aec0de-9db5-4a2e-8f36-7c8d77642037,NY,PreservedSpecimen,2456345,14545,D. E. Atha,http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2643404,2014,North America,United States of America,New York,New York Co.,Central Park. Hallett Nature Sanctuary. Between 60th and 61st St and between 5th and 6th Aves,43,43,40.7667,-73.9754,GPS,50,D. E. Atha,,Asarum canadense L.,Plantae,Magnoliophyta,Aristolochiaceae,Asarum,canadense,,Species,L.,,
aefaeabb-f4e9-4df9-9604-178937880730,NY,PreservedSpecimen,2550148,14548,D. E. Atha,http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2940361,2014,North America,United States of America,New York,New York Co.,Central Park. Hallett Nature Sanctuary. Between 60th and 61st St and between 5th and 6th Aves,43,43,40.7667,-73.9754,GPS,50,D. E. Atha,,Poa nemoralis L.,Plantae,Magnoliophyta,Poaceae,Poa,nemoralis,,Species,L.,,
af34ea99-3375-4bcc-90e1-367c17f3bed3,NY,PreservedSpecimen,2456349,14549,D. E. Atha,http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2643406,2014,North America,United States of America,New York,New York Co.,Central Park. Hallett Nature Sanctuary. Between 60th and 61st St and between 5th and 6th Aves,43,43,40.7667,-73.9754,GPS,50,D. E. Atha,,Rhododendron L.,Plantae,Magnoliophyta,Ericaceae,Rhododendron,,,Genus,L.,,
3ffb8f02-0770-4bb6-b15d-6f32ac3bcf2f,NY,PreservedSpecimen,2844336,15836,D. E. Atha,http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3262581,2016,North America,United States of America,New York,New York Co.,"Central Park, East Green, Dene Wildflower Meadow, between 66th and 67th Streets and between 5th and 6th Avenues",20,20,40.7693,-73.9716,,25,D. E. Atha,,Panicum dichotomiflorum subsp. dichotomiflorum,Plantae,Magnoliophyta,Poaceae,Panicum,dichotomiflorum,dichotomiflorum,Subspecies,,,
8d8651d2-bc63-47e1-be4d-77c3700f6a24,NY,PreservedSpecimen,2844337,15837,D. E. Atha,http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3262582,2016,North America,United States of America,New York,New York Co.,"Central Park, East Green, Dene Wildflower Meadow, between 66th and 67th Streets and between 5th and 6th Avenues",20,20,40.7693,-73.9716,,25,D. E. Atha,,Tridens flavus var. flavus,Plantae,Magnoliophyta,Poaceae,Tridens,flavus,flavus,Variety,,,
97d69e2b-9b13-4c3e-8fcf-95282d8320f5,NY,PreservedSpecimen,2332522,s.n.,W. H. Wiegmann,http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2521570,1949,North America,United States of America,New York,New York Co.,Central Park (East 72nd St.),,,40.6639,-73.9383,GEOLocate Web Application,14542,W. H. Wiegmann,,Ulmus parvifolia Jacq.,Plantae,Magnoliophyta,Ulmaceae,Ulmus,parvifolia,,Species,Jacq.,,
be90586c-378e-452a-89a0-ec57c8b933e2,NY,PreservedSpecimen,2342421,s.n.,A. Brown,http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2535684,1876,North America,United States of America,New York,New York Co.,Central Park near 106th St. transverse road,,,40.6639,-73.9383,GEOLocate Web Application,14542,D. E. Atha,,Anemone quinquefolia L.,Plantae,Magnoliophyta,Ranunculaceae,Anemone,quinquefolia,,Species,L.,,
14c3198d-ee1c-4756-a740-3156c66b2e95,NY,PreservedSpecimen,2377779,s.n.,A. P.,http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2627148,1879,North America,United States of America,New York,New York Co.,Central Park,,,40.7823,-73.9654,GEOLocate Web Application,2545,J. S. Ma,,Euonymus hamiltonianus Wall.,Plantae,Magnoliophyta,Celastraceae,Euonymus,hamiltonianus,,Species,Wall.,,
edc3880f-2e9b-47b0-9e1a-8e49c9b45c19,NY,PreservedSpecimen,2225975,s.n.,S. L. Clarke,http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2428237,1891,North America,United States of America,New York,New York Co.,Central Park,,,40.7823,-73.9654,GEOLocate Web Application,2545,"H. E. Ballard, Jr.",,Viola sororia Willd.,Plantae,Magnoliophyta,Violaceae,Viola,sororia,,Species,Willd.,,
3ea1ae1a-50de-4d9a-bcbb-9cf34bc14fa6,NY,PreservedSpecimen,2219922,s.n.,S. L. Clarke,http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2377123,1891,North America,United States of America,New York,New York Co.,Central Park,,,40.7823,-73.9654,GEOLocate Web Application,2545,,,Corylus americana Walter,Plantae,Magnoliophyta,Betulaceae,Corylus,americana,,Species,Walter,,
897118e8-5949-4da7-9feb-4f87d78cd1f7,NY,PreservedSpecimen,2449815,s.n.,S. L. Clarke,http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2628741,1891,North America,United States of America,New York,New York Co.,Central Park,,,40.7823,-73.9654,GEOLocate Web Application,2545,"H. E. Ballard, Jr.",,Viola labradorica Schrank,Plantae,Magnoliophyta,Violaceae,Viola,labradorica,,Species,Schrank,,
d94a0bbc-6aa1-49b2-be48-69bb6fa08f1a,NY,PreservedSpecimen,2456637,s.n.,S. L. Clarke,http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2731976,1891,North America,United States of America,New York,New York Co.,Central Park,,,40.7823,-73.9654,GEOLocate Web Application,2545,S. Liu,,Kalmia latifolia L.,Plantae,Magnoliophyta,Ericaceae,Kalmia,latifolia,,Species,L.,,
c23fded9-1608-43f7-9fad-00c2b9864f8e,NY,PreservedSpecimen,2456992,s.n.,S. L. Clarke,http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2766929,1890,North America,United States of America,New York,New York Co.,Central Park,,,40.7823,-73.9654,GEOLocate Web Application,2545,D. E. Atha,,Verbascum blattaria L.,Plantae,Magnoliophyta,Scrophulariaceae,Verbascum,blattaria,,Species,L.,,
